2026-02-15 01:40:33,256 INFO    MainThread:50840 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-02-15 01:40:33,257 INFO    MainThread:50840 [wandb_setup.py:_flush():81] Configure stats pid to 50840
2026-02-15 01:40:33,257 INFO    MainThread:50840 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-02-15 01:40:33,257 INFO    MainThread:50840 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/ubuntu/pi-ris-private/llama2.c/wandb/offline-run-20260215_014033-d0ihevn1/logs/debug.log
2026-02-15 01:40:33,257 INFO    MainThread:50840 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/ubuntu/pi-ris-private/llama2.c/wandb/offline-run-20260215_014033-d0ihevn1/logs/debug-internal.log
2026-02-15 01:40:33,257 INFO    MainThread:50840 [wandb_init.py:init():844] calling init triggers
2026-02-15 01:40:33,257 INFO    MainThread:50840 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'out_dir': 'finetunes', 'ckpt_path': 'stories42M.pt', 'eval_interval': 500, 'log_interval': 10, 'eval_iters': 100, 'eval_only': False, 'always_save_checkpoint': False, 'init_from': 'resume', 'wandb_log': True, 'wandb_project': 'pi-ris', 'wandb_run_name': 'run_nn', 'batch_size': 64, 'max_seq_len': 256, 'vocab_size': 32000, 'dim': 288, 'n_layers': 6, 'n_heads': 6, 'n_kv_heads': 6, 'multiple_of': 32, 'dropout': 0.1, 'gradient_accumulation_steps': 1, 'learning_rate': 1e-05, 'max_iters': 5000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'decay_lr': True, 'warmup_iters': 500, 'device': 'cuda', 'dtype': 'bfloat16', 'compile': True, '_wandb': {}}
2026-02-15 01:40:33,257 INFO    MainThread:50840 [wandb_init.py:init():892] starting backend
2026-02-15 01:40:33,475 INFO    MainThread:50840 [wandb_init.py:init():895] sending inform_init request
2026-02-15 01:40:33,479 INFO    MainThread:50840 [wandb_init.py:init():903] backend started and connected
2026-02-15 01:40:33,495 INFO    MainThread:50840 [wandb_init.py:init():973] updated telemetry
2026-02-15 01:40:33,499 INFO    MainThread:50840 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-02-15 01:40:33,594 INFO    MainThread:50840 [wandb_init.py:init():1042] starting run threads in backend
2026-02-15 01:40:33,761 INFO    MainThread:50840 [wandb_run.py:_console_start():2524] atexit reg
2026-02-15 01:40:33,761 INFO    MainThread:50840 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-02-15 01:40:33,761 INFO    MainThread:50840 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-02-15 01:40:33,761 INFO    MainThread:50840 [wandb_run.py:_redirect():2465] Redirects installed.
2026-02-15 01:40:33,762 INFO    MainThread:50840 [wandb_init.py:init():1082] run started, returning control to user process
2026-02-15 01:44:10,689 INFO    wandb-AsyncioManager-main:50840 [service_client.py:_forward_responses():134] Reached EOF.
2026-02-15 01:44:10,689 INFO    wandb-AsyncioManager-main:50840 [mailbox.py:close():155] Closing mailbox, abandoning 0 handles.
